nifty50,nifty100,nifty200,nifty500,niftyall,niftybank,niftyit,niftypsubank,niftyfmcg,niftyprivatebank,niftymetal,niftypharma,niftyfinance
,,PIIND.NS,FORTIS.NS,AXISCADES.NS,,,,,,,,
,,PNBHOUSING.NS,FCONSUMER.NS,AYMSYNTEX.NS,,,,,,,,
,,PAGEIND.NS,FLFL.NS,BAGFILMS.NS,,,,,,,,
,,PETRONET.NS,FRETAIL.NS,BAJAJ-AUTO.NS,,,,,,,,
,,PFIZER.NS,GAIL.NS,BAJAJCON.NS,,,,,,,,
,,PIDILITIND.NS,GEPIL.NS,BAJAJELEC.NS,,,,,,,,
,,PEL.NS,GET&D.NS,BAJAJFINSV.NS,,,,,,,,
,,PFC.NS,GHCL.NS,BAJAJHIND.NS,,,,,,,,
,,POWERGRID.NS,GMRINFRA.NS,BAJAJHLDNG.NS,,,,,,,,
,,PRESTIGE.NS,GALAXYSURF.NS,BAJFINANCE.NS,,,,,,,,
,,PGHH.NS,GARFIBRES.NS,BALAJITELE.NS,,,,,,,,
,,PNB.NS,GAYAPROJ.NS,BALAMINES.NS,,,,,,,,
,,QUESS.NS,GICRE.NS,BALAXI.NS,,,,,,,,
,,RBLBANK.NS,GILLETTE.NS,BALKRISHNA.NS,,,,,,,,
,,RECLTD.NS,GLAXO.NS,BALKRISIND.NS,,,,,,,,
,,RAJESHEXPO.NS,GLENMARK.NS,BALLARPUR.NS,,,,,,,,
,,RELIANCE.NS,GODFRYPHLP.NS,BALMLAWRIE.NS,,,,,,,,
,,SBILIFE.NS,GODREJAGRO.NS,BALPHARMA.NS,,,,,,,,
,,SRF.NS,GODREJCP.NS,BALRAMCHIN.NS,,,,,,,,
,,SHREECEM.NS,GODREJIND.NS,BANARBEADS.NS,,,,,,,,
,,SRTRANSFIN.NS,GODREJPROP.NS,BANARISUG.NS,,,,,,,,
,,SIEMENS.NS,GRANULES.NS,BANCOINDIA.NS,,,,,,,,
,,SBIN.NS,GRAPHITE.NS,BANDHANBNK.NS,,,,,,,,
,,SAIL.NS,GRASIM.NS,BANG.NS,,,,,,,,
,,STRTECH.NS,GESHIP.NS,BANKBARODA.NS,,,,,,,,
,,SUNPHARMA.NS,GREAVESCOT.NS,BANKINDIA.NS,,,,,,,,
