nifty50,nifty100,nifty200,nifty500,niftyall,niftybank,niftyit,niftypsubank,niftyfmcg,niftyprivatebank,niftymetal,niftypharma,niftyfinance
,,,,LPDC.NS,,,,,,,,
,,,,LSIL.NS,,,,,,,,
,,,,LT.NS,,,,,,,,
,,,,LTI.NS,,,,,,,,
,,,,LTTS.NS,,,,,,,,
,,,,LUMAXIND.NS,,,,,,,,
,,,,LUMAXTECH.NS,,,,,,,,
,,,,LUPIN.NS,,,,,,,,
,,,,LUXIND.NS,,,,,,,,
,,,,LYKALABS.NS,,,,,,,,
,,,,LYPSAGEMS.NS,,,,,,,,
,,,,M&M.NS,,,,,,,,
,,,,M&MFIN.NS,,,,,,,,
,,,,MAANALU.NS,,,,,,,,
,,,,MADHAV.NS,,,,,,,,
,,,,MADHUCON.NS,,,,,,,,
,,,,MADRASFERT.NS,,,,,,,,
,,,,MAGADSUGAR.NS,,,,,,,,
,,,,MAGMA.NS,,,,,,,,
,,,,MAGNUM.NS,,,,,,,,
,,,,MAHABANK.NS,,,,,,,,
,,,,MAHAPEXLTD.NS,,,,,,,,
,,,,MAHASTEEL.NS,,,,,,,,
,,,,MAHEPC.NS,,,,,,,,
,,,,MAHESHWARI.NS,,,,,,,,
,,,,MAHINDCIE.NS,,,,,,,,
,,,,MAHLIFE.NS,,,,,,,,
,,,,MAHLOG.NS,,,,,,,,
,,,,MAHSCOOTER.NS,,,,,,,,
,,,,MAHSEAMLES.NS,,,,,,,,
,,,,MAITHANALL.NS,,,,,,,,
,,,,MAJESCO.NS,,,,,,,,
,,,,MALUPAPER.NS,,,,,,,,
,,,,MANAKALUCO.NS,,,,,,,,
,,,,MANAKCOAT.NS,,,,,,,,
,,,,MANAKSIA.NS,,,,,,,,
,,,,MANAKSTEEL.NS,,,,,,,,
,,,,MANALIPETC.NS,,,,,,,,
,,,,MANAPPURAM.NS,,,,,,,,
,,,,MANGALAM.NS,,,,,,,,
,,,,MANGCHEFER.NS,,,,,,,,
,,,,MANGLMCEM.NS,,,,,,,,
,,,,MANGTIMBER.NS,,,,,,,,
,,,,MANINDS.NS,,,,,,,,
,,,,MANINFRA.NS,,,,,,,,
,,,,MANUGRAPH.NS,,,,,,,,
,,,,MARALOVER.NS,,,,,,,,
,,,,MARATHON.NS,,,,,,,,
,,,,MARICO.NS,,,,,,,,
,,,,MARKSANS.NS,,,,,,,,
,,,,MARUTI.NS,,,,,,,,
,,,,MASFIN.NS,,,,,,,,
,,,,MASKINVEST.NS,,,,,,,,
,,,,MASTEK.NS,,,,,,,,
,,,,MATRIMONY.NS,,,,,,,,
,,,,MAWANASUG.NS,,,,,,,,
,,,,MAXINDIA.NS,,,,,,,,
,,,,MAXVIL.NS,,,,,,,,
,,,,MAYURUNIQ.NS,,,,,,,,
,,,,MAZDA.NS,,,,,,,,
,,,,MBAPL.NS,,,,,,,,
,,,,MBECL.NS,,,,,,,,
,,,,MBLINFRA.NS,,,,,,,,
,,,,MCDHOLDING.NS,,,,,,,,
,,,,MCDOWELL-N.NS,,,,,,,,
,,,,MCLEODRUSS.NS,,,,,,,,
,,,,MCX.NS,,,,,,,,
,,,,MEGASOFT.NS,,,,,,,,
,,,,MEGH.NS,,,,,,,,
,,,,MELSTAR.NS,,,,,,,,
,,,,MENONBE.NS,,,,,,,,
,,,,MEP.NS,,,,,,,,
,,,,MERCATOR.NS,,,,,,,,
,,,,METALFORGE.NS,,,,,,,,
,,,,METKORE.NS,,,,,,,,
,,,,METROPOLIS.NS,,,,,,,,
,,,,MFSL.NS,,,,,,,,
,,,,MGL.NS,,,,,,,,
,,,,MHRIL.NS,,,,,,,,
,,,,MIC.NS,,,,,,,,
,,,,MIDHANI.NS,,,,,,,,
,,,,MINDACORP.NS,,,,,,,,
,,,,MINDAIND.NS,,,,,,,,
,,,,MINDTECK.NS,,,,,,,,
,,,,MINDTREE.NS,,,,,,,,
,,,,MIRCELECTR.NS,,,,,,,,
,,,,MIRZAINT.NS,,,,,,,,
,,,,MITTAL.NS,,,,,,,,
,,,,MMFL.NS,,,,,,,,
,,,,MMP.NS,,,,,,,,
,,,,MMTC.NS,,,,,,,,
,,,,MODIRUBBER.NS,,,,,,,,
,,,,MOHITIND.NS,,,,,,,,
,,,,MOHOTAIND.NS,,,,,,,,
,,,,MOIL.NS,,,,,,,,
,,,,MOLDTECH.NS,,,,,,,,
,,,,MOLDTKPAC.NS,,,,,,,,
,,,,MONTECARLO.NS,,,,,,,,
,,,,MORARJEE.NS,,,,,,,,
,,,,MOREPENLAB.NS,,,,,,,,
,,,,MOTHERSUMI.NS,,,,,,,,
,,,,MOTILALOFS.NS,,,,,,,,
,,,,MOTOGENFIN.NS,,,,,,,,
,,,,MPHASIS.NS,,,,,,,,
,,,,MPSLTD.NS,,,,,,,,
,,,,MRF.NS,,,,,,,,
,,,,MRO-TEK.NS,,,,,,,,
,,,,MRPL.NS,,,,,,,,
,,,,MSPL.NS,,,,,,,,
,,,,MSTCLTD.NS,,,,,,,,
,,,,MTEDUCARE.NS,,,,,,,,
,,,,MTNL.NS,,,,,,,,
,,,,MUKANDENGG.NS,,,,,,,,
,,,,MUKANDLTD.NS,,,,,,,,
,,,,MUKTAARTS.NS,,,,,,,,
,,,,MUNJALAU.NS,,,,,,,,
,,,,MUNJALSHOW.NS,,,,,,,,
,,,,MURUDCERA.NS,,,,,,,,
,,,,MUTHOOTCAP.NS,,,,,,,,
,,,,MUTHOOTFIN.NS,,,,,,,,
,,,,NACLIND.NS,,,,,,,,
,,,,NAGAFERT.NS,,,,,,,,
,,,,NAGREEKCAP.NS,,,,,,,,
,,,,NAGREEKEXP.NS,,,,,,,,
,,,,NAHARCAP.NS,,,,,,,,
,,,,NAHARINDUS.NS,,,,,,,,
,,,,NAHARPOLY.NS,,,,,,,,
,,,,NAHARSPING.NS,,,,,,,,
,,,,NAM-INDIA.NS,,,,,,,,
,,,,NATCOPHARM.NS,,,,,,,,
,,,,NATHBIOGEN.NS,,,,,,,,
,,,,NATIONALUM.NS,,,,,,,,
,,,,NATNLSTEEL.NS,,,,,,,,
,,,,NAUKRI.NS,,,,,,,,
,,,,NAVINFLUOR.NS,,,,,,,,
,,,,NAVKARCORP.NS,,,,,,,,
,,,,NAVNETEDUL.NS,,,,,,,,
,,,,NBCC.NS,,,,,,,,
,,,,NBIFIN.NS,,,,,,,,
,,,,NBVENTURES.NS,,,,,,,,
,,,,NCC.NS,,,,,,,,
,,,,NCLIND.NS,,,,,,,,
,,,,NDGL.NS,,,,,,,,
,,,,NDL.NS,,,,,,,,
,,,,NDTV.NS,,,,,,,,
,,,,NECCLTD.NS,,,,,,,,
,,,,NECLIFE.NS,,,,,,,,
,,,,NELCAST.NS,,,,,,,,
,,,,NELCO.NS,,,,,,,,
,,,,NEOGEN.NS,,,,,,,,
,,,,NESCO.NS,,,,,,,,
,,,,NESTLEIND.NS,,,,,,,,
,,,,NETWORK18.NS,,,,,,,,
,,,,NEULANDLAB.NS,,,,,,,,
,,,,NEWGEN.NS,,,,,,,,
,,,,NEXTMEDIA.NS,,,,,,,,
,,,,NFL.NS,,,,,,,,
,,,,NH.NS,,,,,,,,
,,,,NHPC.NS,,,,,,,,
,,,,NIACL.NS,,,,,,,,
,,,,NIBL.NS,,,,,,,,
,,,,NIITLTD.NS,,,,,,,,
,,,,NIITTECH.NS,,,,,,,,
,,,,NILAINFRA.NS,,,,,,,,
,,,,NILASPACES.NS,,,,,,,,
,,,,NILKAMAL.NS,,,,,,,,
,,,,NIPPOBATRY.NS,,,,,,,,
,,,,NIRAJISPAT.NS,,,,,,,,
,,,,NITCO.NS,,,,,,,,
,,,,NITINFIRE.NS,,,,,,,,
,,,,NITINSPIN.NS,,,,,,,,
,,,,NKIND.NS,,,,,,,,
,,,,NLCINDIA.NS,,,,,,,,
,,,,NMDC.NS,,,,,,,,
,,,,NOCIL.NS,,,,,,,,
,,,,NOIDATOLL.NS,,,,,,,,
,,,,NORBTEAEXP.NS,,,,,,,,
,,,,NRAIL.NS,,,,,,,,
,,,,NRBBEARING.NS,,,,,,,,
,,,,NSIL.NS,,,,,,,,
,,,,NTL.NS,,,,,,,,
,,,,NTPC.NS,,,,,,,,
,,,,NUCLEUS.NS,,,,,,,,
,,,,NXTDIGITAL.NS,,,,,,,,
,,,,OAL.NS,,,,,,,,
,,,,OBEROIRLTY.NS,,,,,,,,
,,,,OCCL.NS,,,,,,,,
,,,,OFSS.NS,,,,,,,,
,,,,OIL.NS,,,,,,,,
,,,,OILCOUNTUB.NS,,,,,,,,
,,,,OISL.NS,,,,,,,,
,,,,OLECTRA.NS,,,,,,,,
,,,,OMAXAUTO.NS,,,,,,,,
,,,,OMAXE.NS,,,,,,,,
,,,,OMKARCHEM.NS,,,,,,,,
,,,,OMMETALS.NS,,,,,,,,
,,,,ONELIFECAP.NS,,,,,,,,
,,,,ONEPOINT.NS,,,,,,,,
,,,,ONGC.NS,,,,,,,,
,,,,ONMOBILE.NS,,,,,,,,
,,,,ONWARDTEC.NS,,,,,,,,
,,,,OPTIEMUS.NS,,,,,,,,
,,,,OPTOCIRCUI.NS,,,,,,,,
,,,,ORBTEXP.NS,,,,,,,,
,,,,ORICONENT.NS,,,,,,,,
,,,,ORIENTABRA.NS,,,,,,,,
,,,,ORIENTALTL.NS,,,,,,,,
,,,,ORIENTBELL.NS,,,,,,,,
,,,,ORIENTCEM.NS,,,,,,,,
,,,,ORIENTELEC.NS,,,,,,,,
,,,,ORIENTHOT.NS,,,,,,,,
,,,,ORIENTLTD.NS,,,,,,,,
,,,,ORIENTPPR.NS,,,,,,,,
,,,,ORIENTREF.NS,,,,,,,,
,,,,ORISSAMINE.NS,,,,,,,,
,,,,ORTEL.NS,,,,,,,,
,,,,ORTINLABSS.NS,,,,,,,,
,,,,OSWALAGRO.NS,,,,,,,,
,,,,PAEL.NS,,,,,,,,
,,,,PAGEIND.NS,,,,,,,,
,,,,PAISALO.NS,,,,,,,,
,,,,PALASHSECU.NS,,,,,,,,
,,,,PALREDTEC.NS,,,,,,,,
,,,,PANACEABIO.NS,,,,,,,,
,,,,PANACHE.NS,,,,,,,,
,,,,PANAMAPET.NS,,,,,,,,
,,,,PAPERPROD.NS,,,,,,,,
,,,,PARABDRUGS.NS,,,,,,,,
,,,,PARACABLES.NS,,,,,,,,
,,,,PARAGMILK.NS,,,,,,,,
,,,,PARSVNATH.NS,,,,,,,,
,,,,PATELENG.NS,,,,,,,,
,,,,PATINTLOG.NS,,,,,,,,
,,,,PATSPINLTD.NS,,,,,,,,
,,,,PCJEWELLER.NS,,,,,,,,
,,,,PDMJEPAPER.NS,,,,,,,,
,,,,PDSMFL.NS,,,,,,,,
,,,,PEARLPOLY.NS,,,,,,,,
,,,,PEL.NS,,,,,,,,
,,,,PENIND.NS,,,,,,,,
,,,,PENINLAND.NS,,,,,,,,
,,,,PERSISTENT.NS,,,,,,,,
,,,,PETRONET.NS,,,,,,,,
,,,,PFC.NS,,,,,,,,
,,,,PFIZER.NS,,,,,,,,
,,,,PFOCUS.NS,,,,,,,,
,,,,PFS.NS,,,,,,,,
,,,,PGEL.NS,,,,,,,,
,,,,PGHH.NS,,,,,,,,
,,,,PGHL.NS,,,,,,,,
,,,,PGIL.NS,,,,,,,,
,,,,PHILIPCARB.NS,,,,,,,,
,,,,PHOENIXLTD.NS,,,,,,,,
,,,,PIDILITIND.NS,,,,,,,,
,,,,PIIND.NS,,,,,,,,
,,,,PILANIINVS.NS,,,,,,,,
,,,,PILITA.NS,,,,,,,,
,,,,PIONDIST.NS,,,,,,,,
,,,,PIONEEREMB.NS,,,,,,,,
,,,,PITTIENG.NS,,,,,,,,
,,,,PKTEA.NS,,,,,,,,
,,,,PLASTIBLEN.NS,,,,,,,,
,,,,PNB.NS,,,,,,,,
,,,,PNBGILTS.NS,,,,,,,,
,,,,PNBHOUSING.NS,,,,,,,,
,,,,PNC.NS,,,,,,,,
,,,,PNCINFRA.NS,,,,,,,,
,,,,PODDARHOUS.NS,,,,,,,,
,,,,PODDARMENT.NS,,,,,,,,
,,,,POKARNA.NS,,,,,,,,
,,,,POLYCAB.NS,,,,,,,,
,,,,POLYMED.NS,,,,,,,,
,,,,POLYPLEX.NS,,,,,,,,
,,,,PONNIERODE.NS,,,,,,,,
,,,,POWERGRID.NS,,,,,,,,
,,,,POWERINDIA.NS,,,,,,,,
,,,,POWERMECH.NS,,,,,,,,
,,,,PPAP.NS,,,,,,,,
,,,,PPL.NS,,,,,,,,
,,,,PRABHAT.NS,,,,,,,,
,,,,PRADIP.NS,,,,,,,,
,,,,PRAENG.NS,,,,,,,,
,,,,PRAJIND.NS,,,,,,,,
,,,,PRAKASH.NS,,,,,,,,
,,,,PRAKASHSTL.NS,,,,,,,,
,,,,PRAXIS.NS,,,,,,,,
,,,,PRECAM.NS,,,,,,,,
,,,,PRECOT.NS,,,,,,,,
,,,,PRECWIRE.NS,,,,,,,,
,,,,PREMEXPLN.NS,,,,,,,,
,,,,PREMIER.NS,,,,,,,,
,,,,PREMIERPOL.NS,,,,,,,,
,,,,PRESSMN.NS,,,,,,,,
,,,,PRESTIGE.NS,,,,,,,,
,,,,PRICOLLTD.NS,,,,,,,,
,,,,PRIMESECU.NS,,,,,,,,
,,,,PRINCEPIPE.NS,,,,,,,,
,,,,PROSEED.NS,,,,,,,,
,,,,PROZONINTU.NS,,,,,,,,
,,,,PRSMJOHNSN.NS,,,,,,,,
,,,,PSB.NS,,,,,,,,
,,,,PSPPROJECT.NS,,,,,,,,
,,,,PTC.NS,,,,,,,,
,,,,PTL.NS,,,,,,,,
,,,,PUNJABCHEM.NS,,,,,,,,
,,,,PUNJLLOYD.NS,,,,,,,,
,,,,PURVA.NS,,,,,,,,
,,,,PVR.NS,,,,,,,,
,,,,QUESS.NS,,,,,,,,
,,,,QUICKHEAL.NS,,,,,,,,
,,,,RADAAN.NS,,,,,,,,
,,,,RADICO.NS,,,,,,,,
,,,,RADIOCITY.NS,,,,,,,,
,,,,RAIN.NS,,,,,,,,
,,,,RAJESHEXPO.NS,,,,,,,,
,,,,RAJRAYON.NS,,,,,,,,
,,,,RAJSREESUG.NS,,,,,,,,
,,,,RAJTV.NS,,,,,,,,
,,,,RALLIS.NS,,,,,,,,
,,,,RAMANEWS.NS,,,,,,,,
,,,,RAMASTEEL.NS,,,,,,,,
,,,,RAMCOCEM.NS,,,,,,,,
,,,,RAMCOIND.NS,,,,,,,,
,,,,RAMCOSYS.NS,,,,,,,,
,,,,RAMKY.NS,,,,,,,,
,,,,RANASUG.NS,,,,,,,,
,,,,RANEENGINE.NS,,,,,,,,
,,,,RANEHOLDIN.NS,,,,,,,,
,,,,RATNAMANI.NS,,,,,,,,
,,,,RAYMOND.NS,,,,,,,,
,,,,RBL.NS,,,,,,,,
,,,,RBLBANK.NS,,,,,,,,
,,,,RCF.NS,,,,,,,,
,,,,RCOM.NS,,,,,,,,
,,,,RECLTD.NS,,,,,,,,
,,,,REDINGTON.NS,,,,,,,,
,,,,REFEX.NS,,,,,,,,
,,,,RELAXO.NS,,,,,,,,
,,,,RELCAPITAL.NS,,,,,,,,
,,,,RELIANCE.NS,,,,,,,,
,,,,RELIGARE.NS,,,,,,,,
,,,,RELINFRA.NS,,,,,,,,
,,,,REMSONSIND.NS,,,,,,,,
,,,,RENUKA.NS,,,,,,,,
,,,,REPCOHOME.NS,,,,,,,,
,,,,REPRO.NS,,,,,,,,
,,,,RESPONIND.NS,,,,,,,,
,,,,REVATHI.NS,,,,,,,,
,,,,RGL.NS,,,,,,,,
,,,,RHFL.NS,,,,,,,,
,,,,RICOAUTO.NS,,,,,,,,
,,,,RIIL.NS,,,,,,,,
,,,,RITES.NS,,,,,,,,
,,,,RKDL.NS,,,,,,,,
,,,,RKFORGE.NS,,,,,,,,
,,,,RMCL.NS,,,,,,,,
,,,,RML.NS,,,,,,,,
,,,,RNAVAL.NS,,,,,,,,
,,,,ROHITFERRO.NS,,,,,,,,
,,,,ROHLTD.NS,,,,,,,,
,,,,ROLLT.NS,,,,,,,,
,,,,ROLTA.NS,,,,,,,,
,,,,ROSSELLIND.NS,,,,,,,,
,,,,RPGLIFE.NS,,,,,,,,
,,,,RPOWER.NS,,,,,,,,
,,,,RPPINFRA.NS,,,,,,,,
,,,,RSSOFTWARE.NS,,,,,,,,
,,,,RSWM.NS,,,,,,,,
,,,,RSYSTEMS.NS,,,,,,,,
,,,,RTNINFRA.NS,,,,,,,,
,,,,RTNPOWER.NS,,,,,,,,
,,,,RUBYMILLS.NS,,,,,,,,
,,,,RUCHI.NS,,,,,,,,
,,,,RUCHINFRA.NS,,,,,,,,
,,,,RUCHIRA.NS,,,,,,,,
,,,,RUPA.NS,,,,,,,,
,,,,RUSHIL.NS,,,,,,,,
,,,,RVNL.NS,,,,,,,,
,,,,S&SPOWER.NS,,,,,,,,
,,,,SABEVENTS.NS,,,,,,,,
,,,,SADBHAV.NS,,,,,,,,
,,,,SADBHIN.NS,,,,,,,,
,,,,SAFARI.NS,,,,,,,,
,,,,SAGARDEEP.NS,,,,,,,,
,,,,SAGCEM.NS,,,,,,,,
,,,,SAIL.NS,,,,,,,,
,,,,SAKAR.NS,,,,,,,,
,,,,SAKHTISUG.NS,,,,,,,,
,,,,SAKSOFT.NS,,,,,,,,
,,,,SAKUMA.NS,,,,,,,,
,,,,SALASAR.NS,,,,,,,,
,,,,SALONA.NS,,,,,,,,
,,,,SALSTEEL.NS,,,,,,,,
,,,,SALZERELEC.NS,,,,,,,,
,,,,SAMBHAAV.NS,,,,,,,,
,,,,SANCO.NS,,,,,,,,
,,,,SANDESH.NS,,,,,,,,
,,,,SANDHAR.NS,,,,,,,,
,,,,SANGAMIND.NS,,,,,,,,
,,,,SANGHIIND.NS,,,,,,,,
,,,,SANGHVIFOR.NS,,,,,,,,
,,,,SANGHVIMOV.NS,,,,,,,,
,,,,SANGINITA.NS,,,,,,,,
,,,,SANOFI.NS,,,,,,,,
,,,,SANWARIA.NS,,,,,,,,
,,,,SARDAEN.NS,,,,,,,,
,,,,SAREGAMA.NS,,,,,,,,
,,,,SARLAPOLY.NS,,,,,,,,
,,,,SASKEN.NS,,,,,,,,
,,,,SASTASUNDR.NS,,,,,,,,
,,,,SATHAISPAT.NS,,,,,,,,
,,,,SATIA.NS,,,,,,,,
,,,,SATIN.NS,,,,,,,,
,,,,SBICARD.NS,,,,,,,,
,,,,SBILIFE.NS,,,,,,,,
,,,,SBIN.NS,,,,,,,,
,,,,SCAPDVR.NS,,,,,,,,
,,,,SCHAEFFLER.NS,,,,,,,,
,,,,SCHAND.NS,,,,,,,,
,,,,SCHNEIDER.NS,,,,,,,,
,,,,SCI.NS,,,,,,,,
,,,,SDBL.NS,,,,,,,,
,,,,SEAMECLTD.NS,,,,,,,,
,,,,SELAN.NS,,,,,,,,
,,,,SEPOWER.NS,,,,,,,,
,,,,SEQUENT.NS,,,,,,,,
,,,,SESHAPAPER.NS,,,,,,,,
,,,,SETCO.NS,,,,,,,,
,,,,SETUINFRA.NS,,,,,,,,
,,,,SEYAIND.NS,,,,,,,,
,,,,SEZAL.NS,,,,,,,,
,,,,SFL.NS,,,,,,,,
,,,,SGL.NS,,,,,,,,
,,,,SHAHALLOYS.NS,,,,,,,,
,,,,SHAKTIPUMP.NS,,,,,,,,
,,,,SHALBY.NS,,,,,,,,
,,,,SHALPAINTS.NS,,,,,,,,
,,,,SHANKARA.NS,,,,,,,,
,,,,SHANTIGEAR.NS,,,,,,,,
,,,,SHARDACROP.NS,,,,,,,,
,,,,SHARDAMOTR.NS,,,,,,,,
,,,,SHEMAROO.NS,,,,,,,,
,,,,SHIL.NS,,,,,,,,
,,,,SHILPAMED.NS,,,,,,,,
,,,,SHIRPUR-G.NS,,,,,,,,
,,,,SHIVAMAUTO.NS,,,,,,,,
,,,,SHIVAMILLS.NS,,,,,,,,
,,,,SHIVATEX.NS,,,,,,,,
,,,,SHK.NS,,,,,,,,
,,,,SHOPERSTOP.NS,,,,,,,,
,,,,SHREDIGCEM.NS,,,,,,,,
,,,,SHREECEM.NS,,,,,,,,
,,,,SHREEPUSHK.NS,,,,,,,,
,,,,SHREERAMA.NS,,,,,,,,
,,,,SHRENIK.NS,,,,,,,,
,,,,SHREYANIND.NS,,,,,,,,
,,,,SHREYAS.NS,,,,,,,,
,,,,SHRIPISTON.NS,,,,,,,,
,,,,SHRIRAMCIT.NS,,,,,,,,
,,,,SHRIRAMEPC.NS,,,,,,,,
,,,,SHYAMCENT.NS,,,,,,,,
,,,,SHYAMTEL.NS,,,,,,,,
,,,,SICAGEN.NS,,,,,,,,
,,,,SICAL.NS,,,,,,,,
,,,,SIEMENS.NS,,,,,,,,
,,,,SIGIND.NS,,,,,,,,
,,,,SIL.NS,,,,,,,,
,,,,SILINV.NS,,,,,,,,
,,,,SIMBHALS.NS,,,,,,,,
,,,,SIMPLEXINF.NS,,,,,,,,
,,,,SINTEX.NS,,,,,,,,
,,,,SIRCA.NS,,,,,,,,
,,,,SIS.NS,,,,,,,,
,,,,SITINET.NS,,,,,,,,
,,,,SIYSIL.NS,,,,,,,,
,,,,SJVN.NS,,,,,,,,
,,,,SKFINDIA.NS,,,,,,,,
,,,,SKIL.NS,,,,,,,,
,,,,SKIPPER.NS,,,,,,,,
,,,,SKMEGGPROD.NS,,,,,,,,
,,,,SMARTLINK.NS,,,,,,,,
,,,,SMLISUZU.NS,,,,,,,,
,,,,SMSLIFE.NS,,,,,,,,
,,,,SMSPHARMA.NS,,,,,,,,
,,,,SNOWMAN.NS,,,,,,,,
,,,,SOBHA.NS,,,,,,,,
,,,,SOLARA.NS,,,,,,,,
,,,,SOLARINDS.NS,,,,,,,,
,,,,SOMANYCERA.NS,,,,,,,,
,,,,SOMATEX.NS,,,,,,,,
,,,,SOMICONVEY.NS,,,,,,,,
,,,,SONATSOFTW.NS,,,,,,,,
,,,,SORILINFRA.NS,,,,,,,,
,,,,SOTL.NS,,,,,,,,
,,,,SOUTHBANK.NS,,,,,,,,
,,,,SOUTHWEST.NS,,,,,,,,
,,,,SPAL.NS,,,,,,,,
,,,,SPANDANA.NS,,,,,,,,
,,,,SPARC.NS,,,,,,,,
,,,,SPECIALITY.NS,,,,,,,,
,,,,SPENCERS.NS,,,,,,,,
,,,,SPENTEX.NS,,,,,,,,
,,,,SPIC.NS,,,,,,,,
,,,,SPICEJET.NS,,,,,,,,
,,,,SPLIL.NS,,,,,,,,
,,,,SPMLINFRA.NS,,,,,,,,
,,,,SPTL.NS,,,,,,,,
,,,,SPYL.NS,,,,,,,,
,,,,SREEL.NS,,,,,,,,
,,,,SREINFRA.NS,,,,,,,,
,,,,SRF.NS,,,,,,,,
,,,,SRHHYPOLTD.NS,,,,,,,,
,,,,SRIPIPES.NS,,,,,,,,
,,,,SRTRANSFIN.NS,,,,,,,,
,,,,SSWL.NS,,,,,,,,
,,,,STAMPEDE.NS,,,,,,,,
,,,,STAR.NS,,,,,,,,
,,,,STARCEMENT.NS,,,,,,,,
,,,,STARPAPER.NS,,,,,,,,
,,,,STCINDIA.NS,,,,,,,,
,,,,STEELCITY.NS,,,,,,,,
,,,,STEELXIND.NS,,,,,,,,
,,,,STEL.NS,,,,,,,,
,,,,STERTOOLS.NS,,,,,,,,
,,,,STINDIA.NS,,,,,,,,
,,,,STRTECH.NS,,,,,,,,
,,,,SUBCAPCITY.NS,,,,,,,,
,,,,SUBEX.NS,,,,,,,,
,,,,SUBROS.NS,,,,,,,,
,,,,SUDARSCHEM.NS,,,,,,,,
,,,,SUJANAUNI.NS,,,,,,,,
,,,,SUMEETINDS.NS,,,,,,,,
,,,,SUMICHEM.NS,,,,,,,,
,,,,SUMIT.NS,,,,,,,,
,,,,SUMMITSEC.NS,,,,,,,,
,,,,SUNCLAYLTD.NS,,,,,,,,
,,,,SUNDARAM.NS,,,,,,,,
,,,,SUNDARMFIN.NS,,,,,,,,
,,,,SUNDARMHLD.NS,,,,,,,,
,,,,SUNDRMBRAK.NS,,,,,,,,
,,,,SUNDRMFAST.NS,,,,,,,,
,,,,SUNFLAG.NS,,,,,,,,
,,,,SUNPHARMA.NS,,,,,,,,
,,,,SUNTECK.NS,,,,,,,,
,,,,SUNTV.NS,,,,,,,,
,,,,SUPERHOUSE.NS,,,,,,,,
,,,,SUPERSPIN.NS,,,,,,,,
,,,,SUPPETRO.NS,,,,,,,,
,,,,SUPRAJIT.NS,,,,,,,,
,,,,SUPREMEIND.NS,,,,,,,,
,,,,SUPREMEINF.NS,,,,,,,,
,,,,SURANASOL.NS,,,,,,,,
,,,,SURANAT&P.NS,,,,,,,,
,,,,SURYALAXMI.NS,,,,,,,,
,,,,SURYAROSNI.NS,,,,,,,,
,,,,SUTLEJTEX.NS,,,,,,,,
,,,,SUVEN.NS,,,,,,,,
,,,,SUVENPHAR.NS,,,,,,,,
,,,,SUZLON.NS,,,,,,,,
,,,,SWANENERGY.NS,,,,,,,,
,,,,SWARAJENG.NS,,,,,,,,
,,,,SWELECTES.NS,,,,,,,,
,,,,SWSOLAR.NS,,,,,,,,
,,,,SYMPHONY.NS,,,,,,,,
,,,,SYNCOM.NS,,,,,,,,
,,,,SYNGENE.NS,,,,,,,,
,,,,TAINWALCHM.NS,,,,,,,,
,,,,TAJGVK.NS,,,,,,,,
,,,,TAKE.NS,,,,,,,,
,,,,TALBROAUTO.NS,,,,,,,,
,,,,TALWALKARS.NS,,,,,,,,
,,,,TALWGYM.NS,,,,,,,,
,,,,TANLA.NS,,,,,,,,
,,,,TARMAT.NS,,,,,,,,
,,,,TASTYBITE.NS,,,,,,,,
,,,,TATACHEM.NS,,,,,,,,
,,,,TATACOFFEE.NS,,,,,,,,
,,,,TATACOMM.NS,,,,,,,,
,,,,TATACONSUM.NS,,,,,,,,
,,,,TATAELXSI.NS,,,,,,,,
,,,,TATAINVEST.NS,,,,,,,,
,,,,TATAMETALI.NS,,,,,,,,
,,,,TATAMOTORS.NS,,,,,,,,
,,,,TATAMTRDVR.NS,,,,,,,,
,,,,TATAPOWER.NS,,,,,,,,
,,,,TATASTEEL.NS,,,,,,,,
,,,,TATASTLBSL.NS,,,,,,,,
,,,,TATASTLLP.NS,,,,,,,,
,,,,TBZ.NS,,,,,,,,
,,,,TCI.NS,,,,,,,,
,,,,TCIDEVELOP.NS,,,,,,,,
,,,,TCIEXP.NS,,,,,,,,
,,,,TCIFINANCE.NS,,,,,,,,
,,,,TCNSBRANDS.NS,,,,,,,,
,,,,TCPLPACK.NS,,,,,,,,
,,,,TCS.NS,,,,,,,,
,,,,TDPOWERSYS.NS,,,,,,,,
,,,,TEAMLEASE.NS,,,,,,,,
,,,,TECHIN.NS,,,,,,,,
,,,,TECHM.NS,,,,,,,,
,,,,TECHNOE.NS,,,,,,,,
,,,,TECHNOFAB.NS,,,,,,,,
,,,,TEJASNET.NS,,,,,,,,
,,,,TERASOFT.NS,,,,,,,,
,,,,TEXINFRA.NS,,,,,,,,
,,,,TEXMOPIPES.NS,,,,,,,,
,,,,TEXRAIL.NS,,,,,,,,
,,,,TFCILTD.NS,,,,,,,,
,,,,TFL.NS,,,,,,,,
,,,,TGBHOTELS.NS,,,,,,,,
,,,,THANGAMAYL.NS,,,,,,,,
,,,,THEINVEST.NS,,,,,,,,
,,,,THEMISMED.NS,,,,,,,,
,,,,THERMAX.NS,,,,,,,,
,,,,THIRUSUGAR.NS,,,,,,,,
,,,,THOMASCOOK.NS,,,,,,,,
,,,,THOMASCOTT.NS,,,,,,,,
,,,,THYROCARE.NS,,,,,,,,
,,,,TI.NS,,,,,,,,
,,,,TIDEWATER.NS,,,,,,,,
,,,,TIIL.NS,,,,,,,,
,,,,TIINDIA.NS,,,,,,,,
,,,,TIJARIA.NS,,,,,,,,
